Rebuild completion watcher started.
Watching: C:\Users\1028120\Documents\Scripts\corp-monorepo\.ecosystem\rebuild_staging\source_library\rebuild\status.json
[04:42:10] Progress: 97/257
[04:43:10] Progress: 97/257
[04:44:10] Progress: 97/257
[04:45:10] Progress: 97/257
[04:46:10] Progress: 98/257
[04:47:10] Progress: 98/257
[04:48:10] Progress: 99/257
[04:49:10] Progress: 99/257
[04:50:10] Progress: 99/257
[04:51:10] Progress: 99/257
[04:52:10] Progress: 99/257
[04:53:10] Progress: 99/257
[04:54:10] Progress: 100/257
[04:55:10] Progress: 100/257
[04:56:10] Progress: 100/257
[04:57:10] Progress: 100/257
[04:58:10] Progress: 100/257
[04:59:10] Progress: 101/257
[05:00:10] Progress: 101/257
[05:01:10] Progress: 101/257
[05:02:10] Progress: 102/257
[05:03:10] Progress: 102/257
[05:04:10] Progress: 102/257
[05:05:10] Progress: 103/257
[05:06:10] Progress: 104/257
[05:07:10] Progress: 105/257
[05:08:10] Progress: 105/257
[05:09:10] Progress: 105/257
[05:10:10] Progress: 106/257
[05:11:10] Progress: 106/257
[05:12:10] Progress: 106/257
[05:13:10] Progress: 106/257
[05:14:10] Progress: 106/257
[05:15:10] Progress: 106/257
[05:16:10] Progress: 106/257
[05:17:10] Progress: 107/257
[05:18:10] Progress: 107/257
[05:19:10] Progress: 107/257
[05:20:10] Progress: 107/257
[05:21:10] Progress: 107/257
[05:22:10] Progress: 107/257
[05:23:10] Progress: 107/257
[05:24:10] Progress: 107/257
[05:25:10] Progress: 107/257
[05:26:10] Progress: 108/257
[05:27:10] Progress: 108/257
[05:28:10] Progress: 109/257
[05:29:10] Progress: 109/257
[05:30:10] Progress: 110/257
[05:31:10] Progress: 110/257
[05:32:10] Progress: 111/257
[05:33:10] Progress: 111/257
[05:34:10] Progress: 111/257
[05:35:10] Progress: 113/257
[05:36:10] Progress: 114/257
[05:37:10] Progress: 116/257
[05:38:10] Progress: 117/257
[05:39:10] Progress: 117/257
[05:40:10] Progress: 117/257
[05:41:10] Progress: 117/257
[05:42:10] Progress: 117/257
[05:43:10] Progress: 117/257
[05:44:10] Progress: 117/257
[05:45:10] Progress: 118/257
[05:46:10] Progress: 118/257
[05:47:10] Progress: 118/257
[05:48:10] Progress: 118/257
[05:49:10] Progress: 118/257
[05:50:10] Progress: 118/257
[05:51:10] Progress: 118/257
[05:52:10] Progress: 118/257
[05:53:10] Progress: 118/257
[05:54:10] Progress: 119/257
